code,numeric_code,name,minor_units,symbol,entity,status,is_independent,pegged_to,peg_type,peg_rate
AED,784,UAE Dirham,2,د.إ,United Arab Emirates,active,false,USD,single,3.6725
AFN,971,Afghan Afghani,2,؋,Afghanistan,active,true,,,
ALL,008,Albanian Lek,2,L,Albania,active,true,,,
AMD,051,Armenian Dram,2,֏,Armenia,active,true,,,
ANG,532,Netherlands Antillean Guilder,2,ƒ,Curaçao and Sint Maarten,active,false,USD,single,1.79
AOA,973,Angolan Kwanza,2,Kz,Angola,active,true,,,
ARS,032,Argentine Peso,2,$,Argentina,active,true,,,
AUD,036,Australian Dollar,2,$,Australia,active,true,,,
AWG,533,Aruban Florin,2,Afl,Aruba,active,false,USD,single,1.79
AZN,944,Azerbaijani Manat,2,₼,Azerbaijan,active,true,,,
BAM,977,Bosnia and Herzegovina Convertible Mark,2,KM,Bosnia and Herzegovina,active,false,EUR,single,1.95583
BBD,052,Barbadian Dollar,2,Bds$,Barbados,active,false,USD,single,2.0
BDT,050,Bangladeshi Taka,2,৳,Bangladesh,active,true,,,
BGN,975,Bulgarian Lev,2,лв,Bulgaria,active,false,EUR,single,1.95583
BHD,048,Bahraini Dinar,3,ب.د,Bahrain,active,false,USD,single,0.376
BIF,108,Burundian Franc,0,FBu,Burundi,active,true,,,
BMD,060,Bermudian Dollar,2,BD$,Bermuda,active,false,USD,single,1.0
BND,096,Brunei Dollar,2,B$,Brunei Darussalam,active,false,SGD,single,1.0
BOB,068,Bolivian Boliviano,2,Bs,Bolivia,active,true,,,
BOV,984,Bolivian Mvdol,2,BOV,Bolivia,active,true,,,
BRL,986,Brazilian Real,2,R$,Brazil,active,true,,,
BSD,044,Bahamian Dollar,2,B$,Bahamas,active,false,USD,single,1.0
BTN,064,Bhutanese Ngultrum,2,Nu.,Bhutan,active,false,INR,single,1.0
BWP,072,Botswana Pula,2,P,Botswana,active,true,,,
BYN,933,Belarusian Ruble,2,Br,Belarus,active,true,,,
BZD,084,Belize Dollar,2,BZ$,Belize,active,false,USD,single,2.0
CAD,124,Canadian Dollar,2,$,Canada,active,true,,,
CDF,976,Congolese Franc,2,FC,Democratic Republic of the Congo,active,true,,,
CHE,947,WIR Euro,2,CHE,Switzerland,active,false,EUR,single,1.0
CHF,756,Swiss Franc,2,CHF,Switzerland,active,true,,,
CHW,948,WIR Franc,2,CHW,Switzerland,active,false,CHF,single,1.0
CLF,990,Unidad de Fomento,4,CLF,Chile,active,true,,,
CLP,152,Chilean Peso,0,$,Chile,active,true,,,
CNY,156,Chinese Yuan,2,¥,China,active,true,,,
COP,170,Colombian Peso,2,$,Colombia,active,true,,,
COU,970,Unidad de Valor Real,2,COU,Colombia,active,true,,,
CRC,188,Costa Rican Colon,2,₡,Costa Rica,active,true,,,
CUC,931,Cuban Convertible Peso,2,CUC$,Cuba,active,false,USD,single,1.0
CUP,192,Cuban Peso,2,$MN,Cuba,active,true,,,
CVE,132,Cape Verdean Escudo,2,Esc,Cape Verde,active,false,EUR,single,110.265
CZK,203,Czech Koruna,2,Kč,Czech Republic,active,true,,,
DJF,262,Djiboutian Franc,0,Fdj,Djibouti,active,false,USD,single,177.721
DKK,208,Danish Krone,2,kr,Denmark,active,false,EUR,single,7.46038
DOP,214,Dominican Peso,2,RD$,Dominican Republic,active,true,,,
DZD,012,Algerian Dinar,2,د.ج,Algeria,active,true,,,
EGP,818,Egyptian Pound,2,E£,Egypt,active,true,,,
ERN,232,Eritrean Nakfa,2,Nfk,Eritrea,active,false,USD,single,15.0
ETB,230,Ethiopian Birr,2,Br,Ethiopia,active,true,,,
EUR,978,Euro,2,€,European Union (Eurosystem),active,true,,,
FJD,242,Fijian Dollar,2,FJ$,Fiji,active,true,,,
FKP,238,Falkland Islands Pound,2,FK£,Falkland Islands,active,false,GBP,single,1.0
GBP,826,Pound Sterling,2,£,United Kingdom,active,true,,,
GEL,981,Georgian Lari,2,₾,Georgia,active,true,,,
GHS,936,Ghanaian Cedi,2,GH₵,Ghana,active,true,,,
GIP,292,Gibraltar Pound,2,£,Gibraltar,active,false,GBP,single,1.0
GMD,270,Gambian Dalasi,2,D,Gambia,active,true,,,
GNF,324,Guinean Franc,0,FG,Guinea,active,true,,,
GTQ,320,Guatemalan Quetzal,2,Q,Guatemala,active,true,,,
GYD,328,Guyanese Dollar,2,G$,Guyana,active,true,,,
HKD,344,Hong Kong Dollar,2,HK$,Hong Kong SAR,active,false,USD,single,7.8
HNL,340,Honduran Lempira,2,L,Honduras,active,true,,,
HTG,332,Haitian Gourde,2,G,Haiti,active,true,,,
HUF,348,Hungarian Forint,2,Ft,Hungary,active,true,,,
IDR,360,Indonesian Rupiah,2,Rp,Indonesia,active,true,,,
ILS,376,Israeli New Shekel,2,₪,Israel,active,true,,,
INR,356,Indian Rupee,2,₹,India,active,true,,,
IQD,368,Iraqi Dinar,3,ع.د,Iraq,active,true,,,
IRR,364,Iranian Rial,2,﷼,Iran,active,true,,,
ISK,352,Icelandic Krona,0,kr,Iceland,active,true,,,
JMD,388,Jamaican Dollar,2,J$,Jamaica,active,true,,,
JOD,400,Jordanian Dinar,3,د.ا,Jordan,active,false,USD,single,0.709
JPY,392,Japanese Yen,0,¥,Japan,active,true,,,
KES,404,Kenyan Shilling,2,KSh,Kenya,active,true,,,
KGS,417,Kyrgyzstani Som,2,с,Kyrgyzstan,active,true,,,
KHR,116,Cambodian Riel,2,៛,Cambodia,active,true,,,
KMF,174,Comorian Franc,0,CF,Comoros,active,false,EUR,single,491.968
KPW,408,North Korean Won,2,₩,North Korea,active,true,,,
KRW,410,South Korean Won,0,₩,South Korea,active,true,,,
KWD,414,Kuwaiti Dinar,3,د.ك,Kuwait,active,false,Currency basket,undisclosed,
KYD,136,Cayman Islands Dollar,2,CI$,Cayman Islands,active,false,USD,single,0.833333
KZT,398,Kazakhstani Tenge,2,₸,Kazakhstan,active,true,,,
LAK,418,Lao Kip,2,₭,Laos,active,true,,,
LBP,422,Lebanese Pound,2,ل.ل,Lebanon,active,true,,,
LKR,144,Sri Lankan Rupee,2,රු,Sri Lanka,active,true,,,
LRD,430,Liberian Dollar,2,L$,Liberia,active,true,,,
LSL,426,Lesotho Loti,2,L,Lesotho,active,false,ZAR,single,1.0
LYD,434,Libyan Dinar,3,ل.د,Libya,active,true,,,
MAD,504,Moroccan Dirham,2,د.م.,Morocco,active,false,EUR+USD basket,basket,
MDL,498,Moldovan Leu,2,L,Moldova,active,true,,,
MGA,969,Malagasy Ariary,2,Ar,Madagascar,active,true,,,
MKD,807,Macedonian Denar,2,ден,North Macedonia,active,false,EUR,single,61.495
MMK,104,Myanmar Kyat,2,K,Myanmar,active,true,,,
MNT,496,Mongolian Tögrög,2,₮,Mongolia,active,true,,,
MOP,446,Macanese Pataca,2,MOP$,Macao SAR,active,false,HKD,single,1.03
MRU,929,Mauritanian Ouguiya,2,UM,Mauritania,active,true,,,
MUR,480,Mauritian Rupee,2,₨,Mauritius,active,true,,,
MVR,462,Maldivian Rufiyaa,2,Rf,Maldives,active,true,,,
MWK,454,Malawian Kwacha,2,MK,Malawi,active,true,,,
MXN,484,Mexican Peso,2,$,Mexico,active,true,,,
MXV,979,Mexican Unidad de Inversion,2,MXV,Mexico,active,true,,,
MYR,458,Malaysian Ringgit,2,RM,Malaysia,active,true,,,
MZN,943,Mozambican Metical,2,MT,Mozambique,active,true,,,
NAD,516,Namibian Dollar,2,N$,Namibia,active,false,ZAR,single,1.0
NGN,566,Nigerian Naira,2,₦,Nigeria,active,true,,,
NIO,558,Nicaraguan Córdoba,2,C$,Nicaragua,active,true,,,
NOK,578,Norwegian Krone,2,kr,Norway,active,true,,,
NPR,524,Nepalese Rupee,2,₨,Nepal,active,false,INR,single,1.6
NZD,554,New Zealand Dollar,2,$,New Zealand,active,true,,,
OMR,512,Omani Rial,3,ر.ع.,Oman,active,false,USD,single,0.384497
PAB,590,Panamanian Balboa,2,B/.,Panama,active,false,USD,single,1.0
PEN,604,Peruvian Sol,2,S/,Peru,active,true,,,
PGK,598,Papua New Guinean Kina,2,K,Papua New Guinea,active,true,,,
PHP,608,Philippine Peso,2,₱,Philippines,active,true,,,
PKR,586,Pakistani Rupee,2,₨,Pakistan,active,true,,,
PLN,985,Polish Zloty,2,zł,Poland,active,true,,,
PYG,600,Paraguayan Guaraní,0,₲,Paraguay,active,true,,,
QAR,634,Qatari Riyal,2,ر.ق,Qatar,active,false,USD,single,3.64
